Name,Address,Type
SpuSetVoiceVolume,0x800392C4,func
S_SVV_OBJ_38,0x800392FC,label
S_SVV_OBJ_68,0x8003932C,func
SpuSetVoiceVolumeAttr,0x8003934C,func
switchD,0x80039388,label
caseD_0,0x80039390,label
S_SVVA_OBJ_44,0x80039390,func
caseD_1,0x80039398,label
S_SVVA_OBJ_4C,0x80039398,func
caseD_2,0x800393A0,label
S_SVVA_OBJ_54,0x800393A0,func
caseD_3,0x800393A8,label
S_SVVA_OBJ_5C,0x800393A8,func
caseD_4,0x800393B0,label
S_SVVA_OBJ_64,0x800393B0,func
caseD_5,0x800393B8,label
S_SVVA_OBJ_6C,0x800393B8,func
caseD_6,0x800393C0,label
S_SVVA_OBJ_74,0x800393C0,func
default,0x800393C4,label
S_SVVA_OBJ_78,0x800393C4,func
switchD,0x8003940C,label
caseD_0,0x80039414,label
S_SVVA_OBJ_C8,0x80039414,func
caseD_1,0x8003941C,label
S_SVVA_OBJ_D0,0x8003941C,func
caseD_2,0x80039424,label
S_SVVA_OBJ_D8,0x80039424,func
caseD_3,0x8003942C,label
S_SVVA_OBJ_E0,0x8003942C,func
caseD_4,0x80039434,label
S_SVVA_OBJ_E8,0x80039434,func
caseD_5,0x8003943C,label
S_SVVA_OBJ_F0,0x8003943C,func
caseD_6,0x80039444,label
S_SVVA_OBJ_F8,0x80039444,func
default,0x80039448,label
S_SVVA_OBJ_FC,0x80039448,func
S_SVVA_OBJ_128,0x80039474,label
S_SVVA_OBJ_158,0x800394A4,func
SpuSetVoicePitch,0x800394C4,func
S_SVP_OBJ_2C,0x800394F0,label
S_SVP_OBJ_5C,0x80039520,func
SpuSetVoiceStartAddr,0x80039540,func
S_SVSA_OBJ_28,0x80039568,label
S_SVSA_OBJ_58,0x80039598,func
