Name,Address
S_SCA_OBJ_D0,0x80039000
S_SCA_OBJ_E0,0x80039010
S_SCA_OBJ_F8,0x80039028
switchD,0x8003904C
caseD_1,0x80039054
caseD_2,0x8003905C
caseD_3,0x80039064
caseD_4,0x8003906C
caseD_5,0x80039074
caseD_6,0x8003907C
caseD_7,0x80039084
caseD_0,0x8003908C
S_SCA_OBJ_188,0x800390B8
S_SCA_OBJ_198,0x800390C8
S_SCA_OBJ_1A8,0x800390D8
S_SCA_OBJ_1B8,0x800390E8
S_SCA_OBJ_1CC,0x800390FC
S_SCA_OBJ_1DC,0x8003910C
S_SCA_OBJ_1F0,0x80039120
S_SCA_OBJ_200,0x80039130
S_SCA_OBJ_214,0x80039144
S_SCA_OBJ_224,0x80039154
S_SCA_OBJ_238,0x80039168
S_SCA_OBJ_248,0x80039178
S_SCA_OBJ_270,0x800391A0
S_SCA_OBJ_28C,0x800391BC
S_SCA_OBJ_29C,0x800391CC
S_SCA_OBJ_2C4,0x800391F4
S_SCA_OBJ_2E0,0x80039210
S_SCA_OBJ_2F0,0x80039220
S_SCA_OBJ_318,0x80039248
S_SCA_OBJ_334,0x80039264
S_SCA_OBJ_344,0x80039274
S_SCA_OBJ_36C,0x8003929C
S_SCA_OBJ_388,0x800392B8
S_SVV_OBJ_38,0x800392FC
switchD,0x80039388
caseD_0,0x80039390
caseD_1,0x80039398
caseD_2,0x800393A0
caseD_3,0x800393A8
caseD_4,0x800393B0
caseD_5,0x800393B8
caseD_6,0x800393C0
default,0x800393C4
switchD,0x8003940C
caseD_0,0x80039414
caseD_1,0x8003941C
caseD_2,0x80039424
caseD_3,0x8003942C
caseD_4,0x80039434
caseD_5,0x8003943C
caseD_6,0x80039444
default,0x80039448
S_SVVA_OBJ_128,0x80039474
S_SVP_OBJ_2C,0x800394F0
S_SVSA_OBJ_28,0x80039568
S_SVLSA_OBJ_28,0x800395E4
S_SVDR_OBJ_3C,0x80039674
S_SVSL_OBJ_38,0x800396FC
S_SVARA_OBJ_4C,0x80039798
S_SVSRA_OBJ_30,0x80039818
S_SVSRA_OBJ_44,0x8003982C
S_SVSRA_OBJ_4C,0x80039834
S_SVSRA_OBJ_54,0x8003983C
S_SVSRA_OBJ_94,0x8003987C
S_SVRRA_OBJ_1C,0x800398E8
S_SVRRA_OBJ_54,0x80039920
GEO_00_OBJ_1C,0x8003998C
GEO_00_OBJ_64,0x800399D4
GEO_00_OBJ_84,0x800399F4
GEO_00_OBJ_B0,0x80039A20
GEO_01_OBJ_C,0x80039A48
GEO_01_OBJ_40,0x80039A7C
GEO_01_OBJ_58,0x80039A94
GEO_01_OBJ_7C,0x80039AB8
FOG_02_OBJ_3C,0x80039B18
FOG_02_OBJ_54,0x80039B30
FOG_02_OBJ_70,0x80039B4C
FOG_02_OBJ_88,0x80039B64
FOG_02_OBJ_A4,0x80039B80
FOG_02_OBJ_BC,0x80039B98
FOG_02_OBJ_D4,0x80039BB0
FOG_02_OBJ_E8,0x80039BC4
FOG_02_OBJ_F8,0x80039BD4
COR_05_OBJ_28,0x80039C10
COR_05_OBJ_70,0x80039C58
COR_05_OBJ_9C,0x80039C84
COR_05_OBJ_E4,0x80039CCC
COR_05_OBJ_11C,0x80039D04
COR_05_OBJ_174,0x80039D5C
COR_05_OBJ_198,0x80039D80
COR_05_OBJ_1CC,0x80039DB4
MSC01_OBJ_48,0x80039EA0
MSC01_OBJ_54,0x80039EAC
MSC01_OBJ_7C,0x80039ED4
MSC02_OBJ_50,0x80039F38
MSC02_OBJ_5C,0x80039F44
MSC02_OBJ_84,0x80039F6C
MSC02_OBJ_E0,0x80039FC8
MSC02_OBJ_158,0x8003A040
MSC02_OBJ_164,0x8003A04C
MSC05_OBJ_C,0x8003A194
MSC09_OBJ_48,0x8003A4E0
MSC09_OBJ_54,0x8003A4EC
MSC09_OBJ_80,0x8003A518
MSC09_OBJ_8C,0x8003A524
MTX_004_OBJ_58,0x8003AAD8
MTX_004_OBJ_5C,0x8003AADC
MTX_004_OBJ_80,0x8003AB00
MTX_004_OBJ_84,0x8003AB04
MTX_004_OBJ_A8,0x8003AB28
MTX_004_OBJ_AC,0x8003AB2C
MTX_004_OBJ_F8,0x8003AB78
MTX_004_OBJ_FC,0x8003AB7C
MTX_004_OBJ_114,0x8003AB94
MTX_004_OBJ_118,0x8003AB98
MTX_004_OBJ_130,0x8003ABB0
MTX_004_OBJ_134,0x8003ABB4
